,index,source,ArticleID,body,len
39,113,WAPO,WP-3258,"['This live coverage has ended. For the latest updates, please go here. ', 'The Israel Defense Forces said Tuesday evening that according to a preliminary inquiry, the deaths Monday of seven aid workers for World Central Kitchen had been the result of a “misidentification — at night during a war in very complex conditions.” IDF Chief of Staff Herzi Halevi called the incident a “grave mistake,” and said the strike “was not carried out with the intention of harming WCK aid workers,” echoing earlier remarks by Israeli President Isaac Herzog and Prime Minister Benjamin Netanyahu.', '1/6', 'Follow World news', '']",5
40,116,WAPO,WP-329,"['1/4', 'Follow World news', '']",3
41,118,WAPO,WP-3304,"['President Biden is visiting Baltimore on Friday to survey the wreckage from the Francis Scott Key Bridge that collapsed last week. In addition to an aerial tour, Biden is getting an operational update on work being done to reopen the Port of Baltimore and will meet with family members of those who died during the collapse, the White House said.', '1/3', 'Follow Election 2024', '']",4
42,122,WAPO,WP-3358,"['President Biden is hosting Japanese Prime Minister Fumio Kishida at the White House on Wednesday, a visit that included a joint news conference in the Rose Garden. A state dinner is also planned. Former president Donald Trump is attending a fundraiser in Georgia.', '1/4', 'Follow Election 2024', '']",4
43,126,WAPO,WP-3394,"['Vice President Harris gave a campaign speech on abortion on Friday, three days after the Arizona Supreme Court ruled that an 1864 law forbidding almost all abortions is operative in the swing state. She heavily criticized former president Donald Trump, who earlier this week advocated for states having the final say on abortion policy but later said that Arizona has gone too far.', '1/3', 'Follow Election 2024', 'TUCSON — Vice President Harris visited a Tucson community center on Friday to campaign in support of abortion rights days after the state’s highest court cleared the way for a Civil War-era abortion ban to take effect.', '“Donald Trump is the architect of this health-care crisis. And that’s not a fact he hides. In fact, he brags about it,” Harris said to a diverse, mostly female crowd that packed the center’s auditorium.', 'Few adults say they have seen a personal benefit from the presidencies of Joe Biden and Donald Trump, according to an AP-NORC Center for Public Affairs Research poll released Friday.', 'Thirty-five percent of respondents polled said Trump did more to help people like them while he was president, and 26 percent said the same of Biden. Thirty percent said neither president did more to help people like them.', 'President Biden on Friday criticized “extremists” who he says are “attempting to erase history,” blasting far-right forces in the United States that he argued are trying to erase the progress achieved by his presidential administration.', 'Biden made the comments during virtual remarks for the National Action Network’s conference in New York. The racial justice organization was founded by the Rev. Al Sharpton.', 'Former president Donald Trump and House Speaker Mike Johnson (R-La.) will appear together at a news conference Friday for their first time since Johnson became speaker, coinciding with a roiling effort to oust him from his position led by one of Trump’s staunchest allies in Congress.', 'This is an excerpt from a full story.', 'The Democratic National Committee has helped cover some of the legal fees that President Biden incurred over the past year amid a special counsel probe into his handling of classified documents, according to recent federal records.', 'This is an excerpt from a full story.', 'Follow live updates on the 2024 election and the contest between Vice President Kamala Harris and former president Donald Trump from our reporters on the campaign trail and in Washington.', 'Potential assassination attempt: Trump was unharmed in what authorities are investigating as another potential assassination attempt, after a man pointed a rifle into a Florida golf course where the former president was playing. Police arrested Ryan Wesley Routh, a 58-year-old man who spent recent years trying to join the war in Ukraine, according to online posts and law enforcement officials.', 'Policy positions: We’ve collected Harris’s and Trump’s stances on the most important issues — abortion, economic policy, immigration and more.', 'Presidential polls: Check out how Harris and Trump stack up, according to The Washington Post’s presidential polling averages of seven battleground states. We’ve identified eight possible paths to victory based on the candidates’ current standing in the polls.', 'Senate control: Senate Democrats are at risk of losing their slim 51-49 majority this fall. The Post breaks down the eight races and three long shots that could determine Senate control.', '']",19
44,127,WAPO,WP-34,"['1/4', 'Follow World news', '']",3
45,131,WAPO,WP-3439,"['President Biden welcomed two foreign leaders to the White House on Monday — Iraqi Prime Minister Mohammed Shia al-Sudani, followed by Czech Prime Minister Petr Fiala — while jury selection got underway in former president Donald Trump’s first criminal trial, in New York.', '1/4', 'Follow Election 2024', 'NEW YORK — The opening day of Donald Trump’s criminal trial delved deeply into his tabloid-fueled sex life, as lawyers and the judge debated how many salacious details jurors should eventually hear as they decide whether he broke the law to cover up hush money payments.', 'This is an excerpt from a full story.', 'Over the weekend, the New York Times released the latest in its series of national polls conducted by Siena College. Despite the subtle change since the paper’s previous poll — a within-the-margin-of-error lead for Donald Trump narrowed — the release triggered a new round of discussion about the state of the presidential race.', 'Specifically: why the poll shows that younger voters, a bastion of Democratic politics, are so supportive of the former president.', 'This is an excerpt from a full story.', 'President Biden is not too focused on the historic trial of former president Donald Trump as it gets underway in New York, according to White House press secretary Karine Jean-Pierre.', '“The president is pretty busy today,” Jean-Pierre said Monday in her daily news briefing, noting the meetings with foreign leaders that are on Biden’s schedule. “I’m sure he’ll … get an update at some point today, but his focus right now are the meetings that he has and what he continues to do everyday.”', 'Follow live updates on the 2024 election and the contest between Vice President Kamala Harris and former president Donald Trump from our reporters on the campaign trail and in Washington.', 'Potential assassination attempt: Trump was unharmed in what authorities are investigating as another potential assassination attempt, after a man pointed a rifle into a Florida golf course where the former president was playing. Police arrested Ryan Wesley Routh, a 58-year-old man who spent recent years trying to join the war in Ukraine, according to online posts and law enforcement officials.', 'Policy positions: We’ve collected Harris’s and Trump’s stances on the most important issues — abortion, economic policy, immigration and more.', 'Presidential polls: Check out how Harris and Trump stack up, according to The Washington Post’s presidential polling averages of seven battleground states. We’ve identified eight possible paths to victory based on the candidates’ current standing in the polls.', 'Senate control: Senate Democrats are at risk of losing their slim 51-49 majority this fall. The Post breaks down the eight races and three long shots that could determine Senate control.', '']",16
46,133,WAPO,WP-3452,"['Israel’s war cabinet met for a second day to weigh a response to Iran’s missile and drone attack over the weekend, as the Biden administration said the U.S. would not take part in any reprisal attacks. World leaders condemned Iran’s barrage and called for restraint. During a visit to Nevatim air base, which was damaged in the Iranian barrage, Israel Defense Forces Chief of Staff Herzi Halevi said in remarks shared on social media that Israel would respond to the attack, but did not say how.', '1/7', 'Follow World news', '']",4
47,139,WAPO,WP-3514,"['President Biden appeared Friday at a conference in Washington hosted by the International Brotherhood of Electrical Workers, a labor union that last year endorsed his 2024 reelection. It’s the latest attempt by Biden to bolster his support among blue-collar voters who will be key in several battleground states in November.', '1/3', 'Follow Election 2024', '']",4
48,141,WAPO,WP-3540,"['The House approved a $95 billion package of foreign aid bills that would provide funding for Ukraine, Israel and Taiwan, among other priorities. The bills moved forward despite a far-right threat to oust House Speaker Mike Johnson (R-La.) if he advanced Ukraine aid.', '1/4', 'Follow Politics', '']",4
49,145,WAPO,WP-3606,"['Israeli officials and American lawmakers celebrated the U.S. Senate voting overwhelmingly to advance a package of bills that would give billions in aid to Israel, as well as Ukraine and Taiwan. Meanwhile, antiwar demonstrations at university campuses across the United States continue to escalate — with over 150 students and faculty arrested so far.', '1/6', 'Follow World news', '']",4
50,149,WAPO,WP-3667,"['A delegation from Egypt traveled to Israel on Friday in a bid to avert a planned Israeli offensive in Rafah, where much of Gaza’s population has been displaced, according to an Israeli official who spoke on the condition of anonymity due to the matter’s sensitivity. The trip, which follows an Israeli war cabinet meeting Thursday to discuss hostage deal negotiations, signals a resumption of efforts to broker a deal after months of failed talks. National security adviser Jake Sullivan told MSNBC on Friday that there was “new momentum, new life,” to the hostage and cease-fire talks.', '1/6', 'Follow World news', '']",4
51,152,WAPO,WP-3723,"['This live coverage has ended. For the latest updates, please go here. | Dozens of New York police officers in riot gear entered Columbia University’s campus Tuesday night after issuing a dispersal order to protesters gathered outside one of the school’s entrances. Officers breached a building occupied by protesters and removed students from the campus with their hands zip-tied behind their backs. A police spokesman said multiple people had been arrested. Pro-Palestinian demonstrators have demanded for weeks that universities divest from Israeli-linked companies more than six months into Israel’s war with Hamas.', '1/5', 'Subscribe to comment and get the full experience. Choose your plan →', '']",4
52,153,WAPO,WP-3724,"['Confrontations between pro-Palestinian protesters and police are continuing on campuses across the United States, a day after New York police breached a Columbia University building occupied by demonstrators and arrested about 300 people at Columbia and the City College of New York. Police arrested 15 protesters at Fordham University and 34 at the University of Wisconsin in Madison. In Los Angeles, UCLA’s chancellor denounced “instigators” whom he blamed for violence that broke out overnight Tuesday between pro-Palestinian demonstrators and counterprotesters who tried to dismantle their camp.', '1/4', '']",3
53,159,WAPO,WP-3783,"['The New York Police Department began clearing encampments at New York University and the New School on Friday morning and took more than 50 demonstrators into custody. Pro-Palestinian protests and resulting police actions continued to roil the campus and many others across the country; more than 130 people were arrested at the State University of New York at New Paltz, and 17 were taken into custody at the University of Notre Dame late Thursday night. In Oregon, law enforcement officers cleared a library at Portland State University for a second time Thursday night, with the day’s arrests there reaching at least 30.', '1/5', '']",3
54,160,WAPO,WP-3821,"['New York Supreme Court Justice Juan Merchan  ruled Monday that Donald Trump again violated his gag order in the New York hush money trial, and he warned that he would consider jailing the former president if the violations continue. After the ruling, testimony included retired Trump Organization comptroller Jeffrey McConney talking about business records and practices that are at the heart of the case. Merchan sent the jury home for the day shortly after 4 p.m.', '1/3', 'Follow Politics', 'Trump spoke to reporters shortly before he left the courthouse, calling Justice Juan Merchan a “disaster” and addressing being held in contempt Monday morning for violating his gag order.', '“This judge has given me a gag order and said, ‘You’ll go to jail if you violate it,’” Trump told reporters. “Frankly our Constitution is much more important than jail. I’ll do that sacrifice any day.”', 'Trump also complained about the trial’s timeline.', '“We just found out the government just said they want two to three more weeks,” he said. “That means they want to keep me off the trail.” Trump has a rally scheduled this weekend in New Jersey.', 'Donald Trump has left the courtroom for the day.', 'After the jury was dismissed, Justice Juan Merchan asked the prosecutors for an updated trial schedule. Assistant District Attorney Joshua Steinglass estimated that the government’s case will last two more weeks: This week, next week and the first day or two of the following week.', 'Donald Trump and his lawyers have entered the courtroom after the lunch break.', 'Prosecutors have reentered the courtroom after the lunch break.', 'Jeffrey McConney, a former executive at the Trump Organization, testified Monday during cross-examination that he did not have information about Donald Trump dictating how finance professionals should document a $130,000 reimbursement payment to his then-lawyer, Michael Cohen.', 'As he leaves the courtroom for the lunch break, Trump gives a thumbs up to reporters. He appeared to have been paying close attention to Jeffrey McConney’s testimony.', 'Cross-examination of Jeffrey McConney is done; prosecutor Matthew Colangelo did some redirect. On his way out of the room, McConney nodded at his former boss seated at the defense table and Donald Trump appeared to say hello back by pumping his fist in McConney’s direction. This was McConney’s third time in two years testifying in a Trump-related case in New York state courts.', 'Jeffrey McConney, a longtime accountant for the Trump Organization, has twice subtly suggested on the witness stand that he did not think Michael Cohen was much of a lawyer.', 'At the start of his cross-examination, Trump lawyer Emil Bove asked him: “Michael Cohen was a lawyer, correct?” McConney replied: “Okay,” causing laughter in the courtroom.', 'Earlier Monday, when prosecutors asked McConney about Cohen, he said tartly: “He said he was a lawyer.”', '']",18
55,164,WAPO,WP-3864,"['The World Health Organization said Wednesday that the closure of the Rafah border crossing meant health services in southern Gaza would run out of fuel in three days. “Without more aid flowing into Gaza, we cannot sustain our lifesaving support to hospitals,” WHO Director General Tedros Adhanom Ghebreyesus said at a briefing. President Biden told CNN Wednesday that he would halt the shipment of U.S. offensive weapons to Israel if the country moves ahead with a long-planned ground invasion of Rafah.', '1/7', 'Follow World news', '']",4
56,166,WAPO,WP-3879,"['Israeli Prime Minister Benjamin Netanyahu said Thursday that Israel was strong enough to fight alone as the United States warned that it could cut military aid to the country. “If we have to stand alone, we will stand alone,” Netanyahu said in a video message Thursday for Israel’s Independence Day. Rear Adm. Daniel Hagari, the IDF’s spokesman, added Thursday that the IDF had the “necessary weapons” for its planned operations, “including in Rafah.” Their remarks came after President Biden threatened to halt shipment of U.S. offensive weapons to Israel if the country moves ahead with its long-planned ground invasion of Rafah in the Gaza Strip.', '1/6', 'Follow World news', '']",4
57,171,WAPO,WP-3922,"['Israeli forces are advancing on the southern city of Rafah, aiming to destroy what Israeli officials have called the last significant Hamas stronghold in Gaza, at the same time that Israel and the militant group are again clashing in areas in the north. The Gaza Health Ministry said Monday that the health system in the strip will collapse within “a few hours” due to a lack of fuel needed to power generators and ambulances, after similar warnings from aid agencies last week.', '1/7', 'Follow World news', '']",4
58,172,WAPO,WP-3941,"['The United Nations said its staff member Waibhav Anil Kale, 46, was killed in Rafah on Monday in an attack on a U.N. vehicle. The shots that killed the worker “came from a tank in the area,” a spokesman for the U.N. Secretary General said later Tuesday, noting that only Israel operates tanks in Gaza. The car was marked with a U.N. flag, and Israeli authorities had been informed of its movements, a different U.N. spokesman told reporters earlier in the day. The Israel Defense Forces said Monday that they had not been made aware of the route of the vehicle, adding that the incident was “under review.”', '1/8', 'Follow World news', '']",4
59,178,WAPO,WP-4007,"['This live coverage has ended. For the latest news, please go here. ', 'There were no signs of life at the crash site of a helicopter that had been carrying Iranian President Ebrahim Raisi in the country’s mountainous northwest, according to state-run media, which said Iranian Foreign Minister Hossein Amir-Abdollahian and other officials were also on board. Early Monday, more than 12 hours after the crash was reported, rescue teams located the chopper, Iran’s Red Crescent Society told state-run Islamic Republic News Agency.', '1/4', 'Follow World news', 'Subscribe to comment and get the full experience. Choose your plan →', '']",6
60,179,WAPO,WP-4010,"['Iranian President Ebrahim Raisi died in a helicopter crash in the country’s East Azerbaijan province, along with Foreign Minister Hossein Amir-Abdollahian and other officials, Iranian state media reported. First Vice President Mohammad Mokhber was named Monday as interim president. Iran’s supreme leader, Ayatollah Ali Khamenei, asked Mokhber to ensure the election of a new president within 50 days, state media reported.', '1/5', 'Follow World news', 'The helicopter that crashed while carrying the Iranian president through mountainous fog was a U.S.-designed Bell 212, according to state media and photographs verified by The Washington Post.', 'The Bell 212 aircraft is a widely used civilian version of the Vietnam-era Huey military helicopter, operated by armed forces and businesses around the globe. The model is a two-blade twin-engine medium helicopter with up to 15 seats that first flew in 1968, according to Skybrary, an aviation database.', 'Ali Bagheri Kani, a deputy foreign minister and nuclear negotiator for Iran, has been named the country’s acting foreign minister, state media said. Kani succeeds Hossein Amir-Abdollahian, a career diplomat, who died in the helicopter crash. It’s unclear whether Kani will retain his new post after an election is held within 50 days and a new government takes control.', 'National Security Council spokesman John Kirby defended the Biden administration’s decision to offer condolences on Iranian President Ebrahim Raisi’s death, calling it a “typical practice” to acknowledge the death of a foreign leader.', 'At the same time, Kirby said Raisi was responsible for “atrocious” human rights violations and blamed him for Iran’s support of proxy groups in the Middle East, including Hamas, “which obviously led to the slaughter of 1,200 innocent Israeli people.”', '“The United States had no part to play” in the crash that killed Iranian President Ebrahim Raisi and other Iranian officials, Defense Secretary Lloyd Austin said at a news conference Monday.', 'Around the same time, the United States expressed official condolences for the deaths of Raisi, Iranian Foreign Minister Hossein Amir-Abdollahian and others in the helicopter, in a statement from State Department spokesman Matthew Miller.', 'The death of Iranian President Ebrahim Raisi elicited shocked responses from several world leaders and political figures, many of whom have aligned themselves with the country on issues such as the war in Gaza or through a mutual resistance to Western powers.', 'Venezuelan President Nicolás Maduro offered his condolences on social media, calling Raisi an “exemplary person” and an “extraordinary world leader.”', '']",13
61,188,WAPO,WP-4173,"['Rep. Andy Kim is projected to win the Democratic primary for Senate in New Jersey, according to the Associated Press. The seat is held by embattled Sen. Bob Menendez (D-N.J.), who on Monday filed to run for reelection as an independent amid his trial on federal corruption charges. Menendez’s son, Rep. Rob Menendez (D-N.J.), was also projected to survive a primary challenge in a race that was largely overshadowed by his father’s legal issues. Former president Donald Trump faced Republican primary voters for the first time as a felon Tuesday as voters went to the polls in Montana, New Jersey, New Mexico and South Dakota. Voters in Iowa and D.C. also selected nominees in down-ballot races. Trump was convicted last week by a New York jury on 34 counts of falsifying business records to conceal a hush money payment to an adult-film actress.', '1/3', 'Follow Election 2024', '']",4
62,191,WAPO,WP-424,"['1/4', 'Follow World news', '']",3
63,192,WAPO,WP-426,"['1/3', 'Follow World news', '']",3
64,204,WAPO,WP-684,"['1/4', 'Follow World news', '']",3
65,207,WAPO,WP-738,"['1/4', 'Follow World news', '']",3
66,210,WAPO,WP-793,"['Secretary of State Antony Blinken said Israel should not reoccupy the Gaza Strip, after Prime Minister Benjamin Netanyahu vowed that Israel would assume responsibility for Gaza’s security “for an indefinite period.” Blinken told reporters that “Gaza cannot continue to be run by Hamas” but that “it’s also clear that Israel cannot occupy Gaza.” In remarks Wednesday, Israeli government spokesman Eylon Levy said that how Gaza would be controlled after the conflict remained uncertain but that Hamas would not play a role. In response to calls for a cease-fire, Levy said the war would “continue at full force” until Hamas’s “military and governing machine” had been destroyed.', '1/4', 'Follow World news', 'Here are the biggest news items from the Israel-Gaza war on Nov. 8.', 'Israel’s military said in a news release Wednesday that it had destroyed 130 tunnel shafts since the start of the war in the Gaza Strip. The Washington Post could not independently verify the claim. Hamas militants maintain a complex network of tunnels in Gaza. Stores of water and oxygen found in the tunnels indicate plans for prolonged stays, according to the Israel Defense Forces statement.', 'A group of Senate Democrats sent a letter to President Biden pushing him for details about Israel’s plans for the future and whether the country is taking measures to protect civilians in Gaza, among other requests.', 'After the war, Gaza “must be demilitarized,” but little is certain beyond that, Eylon Levy, a spokesman for Israeli Prime Minister Benjamin Netanyahu, told reporters Wednesday. Benny Gantz, Netanyahu’s political rival who joined his wartime cabinet as part of a unity government, said at a news briefing that he did now know how Gaza would be governed after the conflict, but that Hamas would not play a role. ', 'Peace in Gaza will require “Palestinian-led governance and Gaza unified with the West Bank under the Palestinian Authority,” Secretary of State Antony Blinken told reporters in Tokyo, after meeting with European, Canadian and Japanese foreign ministers Wednesday.', 'Blinken’s statements offer the fullest vision to date of the Biden administration’s view on ensuring stability and safety in Gaza after the war.', 'The Rafah border crossing from Gaza into Egypt was closed Wednesday, according to State Department spokesman Vedant Patel.', '“Our understanding is that given a security circumstance, the Rafah border crossing remains closed today,” Patel said at a briefing at the State Department on Wednesday. The crossing is also the only route out of the Gaza Strip that has remained open since Hamas’s Oct. 7 attack on Israel.', 'The Israel-Gaza war has gone on for months, and tensions have spilled into the surrounding Middle East region.', 'The war: On Oct. 7, Hamas militants launched an unprecedented cross-border attack on Israel, killing about 1,200 people and taking civilian hostages, including from a music festival. See photos and videos of how the deadly assault unfolded. Israel declared war on Hamas in response, launching a ground invasion that fueled the biggest displacement in the region since Israel’s creation in 1948. In July 2024, Hamas leader Ismail Haniyeh was killed in an attack Hamas has blamed on Israel.', 'Gaza crisis: In the Gaza Strip, Israel has waged one of this century’s most destructive wars, killing tens of thousands and plunging at least half of the population into “famine-like conditions.” For months, Israel has resisted pressure from Western allies to allow more humanitarian aid into the enclave.', 'U.S. involvement: Despite tensions between Israeli Prime Minister Benjamin Netanyahu and some U.S. politicians, including President Biden, the United States supports Israel with weapons, funds aid packages, and has vetoed or abstained from the United Nations’ cease-fire resolutions.', 'History: The roots of the Israeli-Palestinian conflict and mistrust are deep and complex, predating the establishment of the state of Israel in 1948. Read more on the history of the Gaza Strip.', '']",17
67,217,WAPO,WP-913,"['This live coverage has ended. For the latest updates, please go here.', 'The crisis at the Gaza Strip’s two biggest hospitals, increasingly at the center of Israel’s military operation, escalated Monday, as Israel continued to assert that Hamas militants were taking cover in civilian buildings. Gaza’s largest hospital, al-Shifa, is surrounded by Israeli troops; at least 32 people have died in three days, a Gaza health official said. The enclave’s second-largest hospital, al-Quds in Gaza City, was encircled by Israeli forces on Monday morning and unable to evacuate its 300 remaining patients and medical employees because of bombardments and gunfire, said a spokeswoman for the Palestine Red Crescent Society, which runs the hospital. Israel said Monday that its forces killed 21 militants in the area. The Washington Post could not independently verify the claims.', '1/4', 'Follow World news', '']",5
68,219,WAPO,WP-940,"['1/5', 'Follow World news', '']",3
